code,model_ocr,model_in_name,name_ocr,quantity,section,page
101001133,FARSTYG2T,F4R5TYG2T,غسلة ملايس ال حى 8 ك 1400 لفة -F4R5TYG2T,1.00,غسالات ملابس/LG موديلات,p01.png
101001134,FARSVGG2E,4R5VGG2E,استلمم افول 200 بلة ملايس ال جى 9 ك و5 ك مجنف-4R5VGG2E,1.00,غسالات ملابس/LG موديلات,p01.png
101001155,FAJ3TMGSP,F4J3TMG5P,ل حى غسالة فول أوتوماتيك B كيلو.F4J3TMG5P,1.00,غسالات ملابس/LG موديلات,p01.png
101001156,FWT2116BS,,,1.00,غسالات ملابس/LG موديلات,p01.png
101001173,FWT1310BG,FWT1310BG,غسالة واش تور بالمجلف -FWT1310BG,1.00,غسالات ملابس/LG موديلات,p01.png
101001188,FOZEDYP24,FOZGDYP24,ال حى غسالة ملابس تحميل امامى - FOZGDYP24,1.00,غسالات ملابس/LG موديلات,p01.png
101001190,FOZBDYP24,,,1.00,غسالات ملابس/LG موديلات,p01.png
101001192,FOZEDRP24,0Z6DRP24,لا جى غسالة ملابس تحميل امامى 0Z6DRP24 - 15,1.00,غسالات ملابس/LG موديلات,p01.png
101001193,F4Y2TYGYP,F4Y2TYGYP,غسالة ملابس ال حى اتحميل امامى 8 ك - F4Y2TYGYP,1.00,غسالات ملابس/LG موديلات,p01.png
101001194,F4Y20YG6P,F4Y2QYG6P,ال جى غسلة ملابس 7 كيلو 1400 لفه-F4Y2QYG6P,1.00,غسالات ملابس/LG موديلات,p01.png
107001797,F4Y2VYGYP,F4Y2VYGYP,ال جى غسالة ملابس 9 كيلر 1400 لنه - F4Y2VYGYP,1.00,غسالات ملابس/LG موديلات,p01.png
101001196,F4Y2TYGYZ,F4Y2TYGYZ,غسالة قول اتوماتيك ال جى الفرتر F4Y2TYGYZ - 8,1.00,غسالات ملابس/LG موديلات,p01.png
101001199,F4Y2TYGEX,F4Y2TYGGX,غساله ال حى اوتوماتيك 8كيلو - F4Y2TYGGX,1.00,غسالات ملابس/LG موديلات,p01.png
101001202,F4X5EYG24,F4X5EYG24,ل جى غسالة ملايس أمامية التحميل سعة - F4X5EYG24,1.00,غسالات ملابس/LG موديلات,p01.png
101001207,T23X5EHHSTX,,,1.00,غسالات ملابس/LG موديلات,p01.png
101001208,T13V1TEHGX,T13V1TEHGX,نسالة ال جي فرق اتوماتيك 13 كبار - T13V1TEHGX,,غسالات ملابس/LG موديلات,p01.png
101001215,FWT25WBS,FWT25WBS,غسالة ملابس ال حى - FWT25WBS,,غسالات ملابس/LG موديلات,p01.png
101001216,FWT25WSS,FWT25WSS,غسلة ملابس ال جى - FWT25WSS,1.00,غسالات ملابس/LG موديلات,p01.png
101002014,DFB325HS,DFB325HS,غسالة اطباق ال حى 14 فرد-DFB325HS,1.00,غسالات اطباق/LGG موديلات,p01.png
101002018,DFC513FVE,,,1.00,غسالات اطباق/LGG موديلات,p01.png
101002019,DFC287HVS,DFC287HVS,ال جى غسالة اطباق 14 مكان-DFC287HVS,1.00,غسالات اطباق/LGG موديلات,p01.png
101002020,DFC287HMS,DFC287HMS,ال جى غسالة أطباق 14 فرد اسود - DFC287HMS,1.00,غسالات اطباق/LGG موديلات,p01.png
101002021,DFC435FP,DFC435FP,ال جي غسالة اطباق 14 مكان لون سيلفر - DFC435FP,1.00,غسالات اطباق/LGG موديلات,p01.png
101004122,GC-X22FTOEL,GC-X22FTQEL-508,GC-X22FTQEL-508 ياب 4 ثلاجة ال جى,1.00,ثلاجات/LG موديلات,p01.png
101004125,GC-B257SLWL,,,1.00,ثلاجات/LG موديلات,p01.png
101004126,GC-X257COHS,C-X257CQHS,ل حي ثلاجة 24 قدم 665 لتر-C-X257CQHS:,,ثلاجات/LG موديلات,p01.png
101004139,GCFB507PQAM,GCFB507PQAM,ثلاجة ال حى انفرتر 519 لتر -GCFB507PQAM,1.00,ثلاجات/LG موديلات,p01.png
101004145,GN-HTZZHFHL,,,1.00,ثلاجات/LG موديلات,p02.png
101004158,GTF569PVAM,,,1.00,ثلاجات/LG موديلات,p02.png
101004159,GTFAORSBAN,,,1.00,ثلاجات/LG موديلات,p02.png
101004169,GRTB622PFBO,GRTB622PFBQ,ل حى ثلاجة تو فروست الفرتر،GRTB622PFBQ,1.00,ثلاجات/LG موديلات,p02.png
707004770,GTF522PVAN,GTF522PVAN,ال حى ثلاجة لوفروست 523 لتر - GTF522PVAN,1.00,ثلاجات/LG موديلات,p02.png
101004173,GTF452SSAN,,,1.00,ثلاجات/LG موديلات,p02.png
101004175,GCFBABFPLAM,,ثلاجة ال ، IUFB٩BFPLAM -تر ة OUE,1.00,ثلاجات/LG موديلات,p02.png
101005007,RHBOT2SP7RM,RHBOT2SP7RM,بإال جى مجلف بمضخة حرارية سعة - RHBOT2SP7RM,1.00,مجفف ال جى/LG موديلات,p02.png
101005009,RH1OX5TV2NP,RH10X5TV2NP,RH10X5TV2NP - ك 10 مجنف ال جى,1.00,مجفف ال جى/LG موديلات,p02.png
101005010,RH1OX54V2NP,RH1OX54V2NP,RH1OX54V2NP - مجنف ال جى,1.00,مجفف ال جى/LG موديلات,p02.png
101005011,FWT2ODBS,FWT20DBS,ال جى مجفف ملابس 20 ك - FWT20DBS,1.00,مجفف ال جى/LG موديلات,p02.png
101005012,FWT20DSS,FWT2ODSS,FWT2ODSS - ك 20 ال جى مجقف ملابس,1.00,مجفف ال جى/LG موديلات,p02.png
101016001,HU641BBG,,,1.00,سطح ال جى/LG موديلات,p02.png
101016002,CG523626S,,,1.00,سطح ال جى/LG موديلات,p02.png
101018001,WSEZM722552,,,1.00,فرن بلت ان ال جى/LG موديلات,p02.png
101018002,WSED7667M,WSED7667M,ال جي فرن كهرباء بلت إن 60 سم - WSED7667M,,فرن بلت ان ال جى/LG موديلات,p02.png
101018003,WSED7613S,,,1.00,فرن بلت ان ال جى/LG موديلات,p02.png
102002005,,,,,فرن بلت ان ال جى/LG موديلات,p02.png
102016046,,,,,فرن بلت ان ال جى/LG موديلات,p02.png
102016050,,,,1.00,فرن بلت ان ال جى/LG موديلات,p02.png
102016087,,,E53 ALL TCI BUT ابيض,1.00,فرن بلت ان ال جى/LG موديلات,p02.png
102016106,,,,1.00,فرن بلت ان ال جى/LG موديلات,p02.png
102016108,,,,,فرن بلت ان ال جى/LG موديلات,p02.png
102016150,,,,,فرن بلت ان ال جى/LG موديلات,p03.png
102018031,,HC-485,TEKA HC-485 WHITE كهرباء,,فرن بلت ان ال جى/LG موديلات,p03.png
102018085,,,TEKA COMPACT HK 800 S/S كيرباء,,فرن بلت ان ال جى/LG موديلات,p03.png
103004121,WR-4385HSS,WR-4385HSS,ثلاجة 2 باب استانلس 430 لتر - WR-4385HSS,,فرن بلت ان ال جى/LG موديلات,p03.png
103004122,WR-6399AB INV,WR-6399AB,ثلاجة رايت ويل 4 باب اسود - WR-6399AB INV,1.00,فرن بلت ان ال جى/LG موديلات,p03.png
103004127,WR-5395 HBX,WR-5395,ثلاجة وايت ويل 2 باب اسود الفرتر - WR-5395 HBX,,فرن بلت ان ال جى/LG موديلات,p03.png
109004123,WR-4385 HSSX,WR.4385,ثلاجة وايت ويل 2 باب سيلفر - WR.4385 HSSX,,فرن بلت ان ال جى/LG موديلات,p03.png
103004132,WR-4385 HB,WR.4385,ثلاجه جباب أسود 430 لتر بشاشة - WR.4385 HB,,فرن بلت ان ال جى/LG موديلات,p03.png
103004135,WR-6395 HB,WR-6395,ثلاجة 2 باب لو فروست 640 لتر - WR-6395 HB,,فرن بلت ان ال جى/LG موديلات,p03.png
103004136,WR-G43B5HBV,WR-G4385HBV,وايت ويل ثلاجة 2 بابا نوفروست-WR-G4385HBV,,فرن بلت ان ال جى/LG موديلات,p03.png
103018001,WSO.B401M,,,,موديلات وايت ويل لقرن بلت ان وايت ويل,p03.png
103018003,WSO.C301M,WSO-C301M,فرن بلت أن وايت وبل 30 لتر سلفر -WSO-C301M,,موديلات وايت ويل لقرن بلت ان وايت ويل,p03.png
104001007,VH-720,VH-720,غسالة ملابس توشريا حرضين 7ك -VH-720,,موديلات وايت ويل لقرن بلت ان وايت ويل,p03.png
104001064,TWV-FN812BKOA,,,,موديلات وايت ويل لقرن بلت ان وايت ويل,p03.png
