code,model,name,full_name,category,quantity,source,url,model_alt
101001133,F4R5TYG2T,غسالة ملابس ال جى 8 ك 1400 لفة سيلفر,F4R5TYG2T- غسالة ملابس ال جى 8 ك 1400 لفة سيلفر,غسالات ملابس LG موديلات,1,inventory_full.pdf (page 1),https://cairosales.com/ar/?controller=product&id_product=13692,
101001134,FARSVGG2E,استلمم افول 200 بلة ملايس ال جى 9 ك و5 ك مجنف-4R5VGG2E,استلمم افول 200 بلة ملايس ال جى 9 ك و5 ك مجنف-4R5VGG2E,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,4R5VGG2E
101001155,FAJ3TMGSP,ل حى غسالة فول أوتوماتيك B كيلو.F4J3TMG5P,ل حى غسالة فول أوتوماتيك B كيلو.F4J3TMG5P,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,F4J3TMG5P
101001156,FWT2116BS,,,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,
101001173,FWT1310BG,غسالة واش تور بالمجلف -FWT1310BG,غسالة واش تور بالمجلف -FWT1310BG,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,
101001188,FOZEDYP24,ال حى غسالة ملابس تحميل امامى - FOZGDYP24,ال حى غسالة ملابس تحميل امامى - FOZGDYP24,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,FOZGDYP24
101001190,FOZBDYP24,,,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,
101001192,FOZEDRP24,لا جى غسالة ملابس تحميل امامى 0Z6DRP24 - 15,لا جى غسالة ملابس تحميل امامى 0Z6DRP24 - 15,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,0Z6DRP24
101001193,F4Y2TYGYP,غسالة ملابس ال حى اتحميل امامى 8 ك - F4Y2TYGYP,غسالة ملابس ال حى اتحميل امامى 8 ك - F4Y2TYGYP,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,
101001194,F4Y20YG6P,ال جى غسلة ملابس 7 كيلو 1400 لفه-F4Y2QYG6P,ال جى غسلة ملابس 7 كيلو 1400 لفه-F4Y2QYG6P,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,F4Y2QYG6P
101001196,F4Y2TYGYZ,غسالة قول اتوماتيك ال جى الفرتر F4Y2TYGYZ - 8,غسالة قول اتوماتيك ال جى الفرتر F4Y2TYGYZ - 8,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,
101001199,F4Y2TYGEX,غساله ال حى اوتوماتيك 8كيلو - F4Y2TYGGX,غساله ال حى اوتوماتيك 8كيلو - F4Y2TYGGX,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,F4Y2TYGGX
101001202,F4X5EYG24,ل جى غسالة ملايس أمامية التحميل سعة - F4X5EYG24,ل جى غسالة ملايس أمامية التحميل سعة - F4X5EYG24,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,
101001207,T23X5EHHSTX,,,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,
101001208,T13V1TEHGX,نسالة ال جي فرق اتوماتيك 13 كبار - T13V1TEHGX,نسالة ال جي فرق اتوماتيك 13 كبار - T13V1TEHGX,غسالات ملابس/LG موديلات,,inventory_full.pdf (OCR),,
101001215,FWT25WBS,غسالة ملابس ال حى - FWT25WBS,غسالة ملابس ال حى - FWT25WBS,غسالات ملابس/LG موديلات,,inventory_full.pdf (OCR),,
101001216,FWT25WSS,غسلة ملابس ال جى - FWT25WSS,غسلة ملابس ال جى - FWT25WSS,غسالات ملابس/LG موديلات,1.00,inventory_full.pdf (OCR),,
101002014,DFB325HS,غسالة اطباق ال حى 14 فرد-DFB325HS,غسالة اطباق ال حى 14 فرد-DFB325HS,غسالات اطباق/LGG موديلات,1.00,inventory_full.pdf (OCR),,
101002018,DFC513FVE,,,غسالات اطباق/LGG موديلات,1.00,inventory_full.pdf (OCR),,
101002019,DFC287HVS,ال جى غسالة اطباق 14 مكان-DFC287HVS,ال جى غسالة اطباق 14 مكان-DFC287HVS,غسالات اطباق/LGG موديلات,1.00,inventory_full.pdf (OCR),,
101002020,DFC287HMS,ال جى غسالة أطباق 14 فرد اسود - DFC287HMS,ال جى غسالة أطباق 14 فرد اسود - DFC287HMS,غسالات اطباق/LGG موديلات,1.00,inventory_full.pdf (OCR),,
101002021,DFC435FP,ال جي غسالة اطباق 14 مكان لون سيلفر - DFC435FP,ال جي غسالة اطباق 14 مكان لون سيلفر - DFC435FP,غسالات اطباق/LGG موديلات,1.00,inventory_full.pdf (OCR),,
101004122,GC-X22FTOEL,GC-X22FTQEL-508 ياب 4 ثلاجة ال جى,GC-X22FTQEL-508 ياب 4 ثلاجة ال جى,ثلاجات/LG موديلات,1.00,inventory_full.pdf (OCR),,GC-X22FTQEL-508
101004125,GC-B257SLWL,,,ثلاجات/LG موديلات,1.00,inventory_full.pdf (OCR),,
101004126,GC-X257COHS,ل حي ثلاجة 24 قدم 665 لتر-C-X257CQHS:,ل حي ثلاجة 24 قدم 665 لتر-C-X257CQHS:,ثلاجات/LG موديلات,,inventory_full.pdf (OCR),,C-X257CQHS
101004139,GCFB507PQAM,ثلاجة ال حى انفرتر 519 لتر -GCFB507PQAM,ثلاجة ال حى انفرتر 519 لتر -GCFB507PQAM,ثلاجات/LG موديلات,1.00,inventory_full.pdf (OCR),,
101004145,GN-HTZZHFHL,,,ثلاجات/LG موديلات,1.00,inventory_full.pdf (OCR),,
101004158,GTF569PVAM,,,ثلاجات/LG موديلات,1.00,inventory_full.pdf (OCR),,
101004159,GTFAORSBAN,,,ثلاجات/LG موديلات,1.00,inventory_full.pdf (OCR),,
101004169,GRTB622PFBO,ل حى ثلاجة تو فروست الفرتر،GRTB622PFBQ,ل حى ثلاجة تو فروست الفرتر،GRTB622PFBQ,ثلاجات/LG موديلات,1.00,inventory_full.pdf (OCR),,GRTB622PFBQ
101004173,GTF452SSAN,,,ثلاجات/LG موديلات,1.00,inventory_full.pdf (OCR),,
101004175,GCFBABFPLAM,ثلاجة ال ، IUFB٩BFPLAM -تر ة OUE,ثلاجة ال ، IUFB٩BFPLAM -تر ة OUE,ثلاجات/LG موديلات,1.00,inventory_full.pdf (OCR),,
101005007,RHBOT2SP7RM,بإال جى مجلف بمضخة حرارية سعة - RHBOT2SP7RM,بإال جى مجلف بمضخة حرارية سعة - RHBOT2SP7RM,مجفف ال جى/LG موديلات,1.00,inventory_full.pdf (OCR),,
101005009,RH1OX5TV2NP,RH10X5TV2NP - ك 10 مجنف ال جى,RH10X5TV2NP - ك 10 مجنف ال جى,مجفف ال جى/LG موديلات,1.00,inventory_full.pdf (OCR),,RH10X5TV2NP
101005010,RH1OX54V2NP,RH1OX54V2NP - مجنف ال جى,RH1OX54V2NP - مجنف ال جى,مجفف ال جى/LG موديلات,1.00,inventory_full.pdf (OCR),,
101005011,FWT2ODBS,ال جى مجفف ملابس 20 ك - FWT20DBS,ال جى مجفف ملابس 20 ك - FWT20DBS,مجفف ال جى/LG موديلات,1.00,inventory_full.pdf (OCR),,FWT20DBS
101005012,FWT20DSS,FWT2ODSS - ك 20 ال جى مجقف ملابس,FWT2ODSS - ك 20 ال جى مجقف ملابس,مجفف ال جى/LG موديلات,1.00,inventory_full.pdf (OCR),,FWT2ODSS
101016001,HU641BBG,,,سطح ال جى/LG موديلات,1.00,inventory_full.pdf (OCR),,
101016002,CG523626S,,,سطح ال جى/LG موديلات,1.00,inventory_full.pdf (OCR),,
101018001,WSEZM722552,,,فرن بلت ان ال جى/LG موديلات,1.00,inventory_full.pdf (OCR),,
101018002,WSED7667M,ال جي فرن كهرباء بلت إن 60 سم - WSED7667M,ال جي فرن كهرباء بلت إن 60 سم - WSED7667M,فرن بلت ان ال جى/LG موديلات,,inventory_full.pdf (OCR),,
101018003,WSED7613S,,,فرن بلت ان ال جى/LG موديلات,1.00,inventory_full.pdf (OCR),,
101019001,HC7Z3625S,ال جي شفاط مطبخ بيلت ان 90 سم 830 م3/ساعة,HC7Z3625S - ال جي شفاط مطبخ بيلت ان 90 سم 830 م3/ساعة,شفاط,1,شفاط 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=42227,
101062465,65QNED86T6A,ال جى شاشة كيوليد 65 بوصة سمارت,65QNED86T6A - ال جى شاشة كيوليد 65 بوصة سمارت,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=40845,
101062505,OLED77C56LA,ال جى شاشة 77 بوصة اوليد سمارت,OLED77C56LA - ال جى شاشة 77 بوصة اوليد سمارت,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=44641,
101062516,100QNED86A6A,إل جي شاشة 100 بوصة QNED86 MiniLED 4KTV,100QNED86A6A - إل جي شاشة 100 بوصة QNED86 MiniLED 4KTV,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=45891,
101062528,50QNED70B6T,إل جي شاشة 50 بوصة QNED Mini LED سمارت,50QNED70B6T - إل جي شاشة 50 بوصة QNED Mini LED سمارت,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=49458,
101062531,OLED65CS6VA,إل جي شاشة 65 بوصة إل إي دي الترا اتش دي 3840*2160 بيكسل سمارت,OLED65CS6VA - إل جي شاشة 65 بوصة إل إي دي الترا اتش دي 3840*2160 بيكسل سمارت,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=49668,
101062532,OLED55CS6VA,إل جي شاشة 55 بوصة إل إي دي الترا اتش دي 3840*2160 بيكسل سمارت,OLED55CS6VA - إل جي شاشة 55 بوصة إل إي دي الترا اتش دي 3840*2160 بيكسل سمارت,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=49674,
101062534,75NU850B6LA,شاشة ال جي 75 بو صة سمارت NANO 4K UHD,75NU850B6LA -  شاشة ال جي 75  بو صة سمارت NANO 4K UHD,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=49498,
101062537,OLED65B66LA,شاشة ال جي OLED ذكية مقاس 65 بوصة بدقة 4K,OLED65B66LA - شاشة  ال جي OLED ذكية مقاس 65 بوصة بدقة 4K,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=49677,
101062538,OLED77G66LW,شاشة ال جي OLED ذكية مقاس 77 بوصة بدقة 4K,OLED77G66LW - شاشة ال جي OLED ذكية مقاس 77 بوصة بدقة 4K,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=49673,
101062539,OLED83C66LA,شاشة ال جي OLED ذكية مقاس 83 بوصة بدقة 4K,OLED83C66LA - شاشة  ال جي OLED ذكية مقاس 83 بوصة بدقة 4K,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=49672,
101062542,75QNED85B6T,شاشة ال جي 75 بوصه سمارت,75QNED85B6T -شاشة ال جي 75 بوصه سمارت,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=49733,
101062555,65QNED85B6T,تلفزيون ال جي LG QNED evo AI QNED85 Mini LED 4K Smart TV 2026 الذكي مقاس 65بوصة,65QNED85B6T-تلفزيون ال جي LG QNED evo AI QNED85 Mini LED 4K Smart TV 2026 الذكي مقاس 65بوصة,شاشات,1,شاشات 15-9-2026.xls,https://cairosales.com/ar/?controller=product&id_product=49789,
